,XDOMMEM,XDOMEXE,CRAFTDRE,COGSTAT,CRAFTURS,CRAFTDVR,MOCARECN,CRAFTVRS,XDOMLAN,BigWords
XDOMMEM,1.0,0.6595211149209275,-0.68417689901418,0.828736607153634,-0.6298295314761179,-0.601823589856755,-0.5349642105822672,-0.5833776683825186,0.5741753269100994,-0.2126189970453366
XDOMEXE,0.6595211149209275,1.0,-0.5102999991478946,0.7616963278574516,-0.52345895833272,-0.44844268230460554,-0.31510390802876725,-0.45379834558872856,0.8198182450051072,-0.1855923394658668
CRAFTDRE,-0.68417689901418,-0.5102999991478946,1.0,-0.5955898972781664,0.8620395352114326,0.9177784714743358,0.4797569929967583,0.8280946565627775,-0.5209011944857659,0.18614099396924913
COGSTAT,0.828736607153634,0.7616963278574516,-0.5955898972781664,1.0,-0.5817583289335252,-0.5243764570677921,-0.4466171212551944,-0.5261207502038193,0.7017891013616021,-0.2132194456377881
CRAFTURS,-0.6298295314761179,-0.52345895833272,0.8620395352114326,-0.5817583289335252,1.0,0.8052357338881788,0.39008498567141864,0.9168140398367708,-0.551939381427314,0.23012784198603264
CRAFTDVR,-0.601823589856755,-0.44844268230460554,0.9177784714743358,-0.5243764570677921,0.8052357338881788,1.0,0.5314253946152315,0.855430813408559,-0.44475904866705995,0.16050656899535948
MOCARECN,-0.5349642105822672,-0.31510390802876725,0.4797569929967583,-0.4466171212551944,0.39008498567141864,0.5314253946152315,1.0,0.46747885108230813,-0.24807874193682325,0.19144279587711405
CRAFTVRS,-0.5833776683825186,-0.45379834558872856,0.8280946565627775,-0.5261207502038193,0.9168140398367708,0.855430813408559,0.46747885108230813,1.0,-0.46355227850359243,0.1638060552841925
XDOMLAN,0.5741753269100994,0.8198182450051072,-0.5209011944857659,0.7017891013616021,-0.551939381427314,-0.44475904866705995,-0.24807874193682325,-0.46355227850359243,1.0,-0.21946358079006376
BigWords,-0.2126189970453366,-0.1855923394658668,0.18614099396924913,-0.2132194456377881,0.23012784198603264,0.16050656899535948,0.19144279587711405,0.1638060552841925,-0.21946358079006376,1.0
